lambda_smooth,lambda_pos,lambda_grad,val_loss,test_mse,epochs,final_smooth_loss,final_pos_loss
0.01,0.001,0.01,0.0011696566,0.00039654336,50,0.00043683272,0.0
0.01,0.001,0.05,0.0013737876,0.00063090445,50,0.00043576898,3.4596793e-05
0.01,0.001,0.1,0.003828104,0.0016497549,36,0.000504383,0.0
0.01,0.001,0.5,0.002298162,0.0009963559,38,0.00075328327,0.0
0.01,0.005,0.01,0.00050977286,0.0005390594,50,0.00036660302,0.0
0.01,0.005,0.05,0.0011482514,0.000577255,50,0.0005659978,0.0
0.01,0.005,0.1,0.00086122425,0.0009628244,50,0.00028206056,0.0
0.01,0.005,0.5,0.0057311924,0.0008524597,40,0.00027261765,0.0
0.01,0.01,0.01,0.00063386135,0.00069985463,50,0.00029786874,0.0
0.01,0.01,0.05,0.0042017265,0.00040513353,50,0.00048885687,0.0
0.01,0.01,0.1,0.0054992293,0.0022994843,36,0.00035361256,0.00013322337
0.01,0.01,0.5,0.0008151375,0.0006917303,50,0.00033656717,0.0
0.01,0.05,0.01,0.0027982532,0.0012502403,37,0.000671177,0.0
0.01,0.05,0.05,0.0015939153,0.0005235605,50,0.00038377292,0.0
0.01,0.05,0.1,0.00097253366,0.0010329826,50,0.0002955659,0.0
0.01,0.05,0.5,0.001090845,0.0005070699,50,0.00032896997,0.0
0.05,0.001,0.01,0.0006090565,0.0010924184,50,0.0002465126,0.0
0.05,0.001,0.05,0.0019444403,0.0021032265,44,0.00021886725,0.0
0.05,0.001,0.1,0.00087540137,0.00059892033,50,0.00027381786,0.0
0.05,0.001,0.5,0.0012972882,0.0024865356,33,0.00041985197,0.0
0.05,0.005,0.01,0.0019915088,0.0005023857,50,0.0003022555,0.0
0.05,0.005,0.05,0.0024534564,0.0005473405,50,0.00024157616,0.0
0.05,0.005,0.1,0.0027347368,0.0014204839,48,0.0001897189,0.0
0.05,0.005,0.5,0.0006276838,0.0008281528,50,0.00028117842,0.0
0.05,0.01,0.01,0.0019804863,0.00089288,50,0.00026759118,0.0
0.05,0.01,0.05,0.0034867097,0.0009890785,43,0.00025393066,0.0
0.05,0.01,0.1,0.0011429251,0.0003965474,50,0.00018087344,0.0
0.05,0.01,0.5,0.0044933567,0.00082189246,37,0.00022944315,0.0
0.05,0.05,0.01,0.00068424235,0.0007991633,50,0.00025164816,0.0
0.05,0.05,0.05,0.0006106903,0.00097229815,50,0.0002563531,0.0
0.05,0.05,0.1,0.0009795745,0.00053887913,50,0.0003473717,0.0
0.05,0.05,0.5,0.0031466999,0.001160336,47,0.00020832369,0.0
0.1,0.001,0.01,0.0007609256,0.0005235458,50,0.00016615885,0.0
0.1,0.001,0.05,0.0016448695,0.00041139201,46,0.00018201437,0.0
0.1,0.001,0.1,0.00085620466,0.0005803478,50,0.0001725442,0.0
0.1,0.001,0.5,0.00082315295,0.0010427302,50,0.0001555057,0.0
0.1,0.005,0.01,0.0020791576,0.00069577305,47,0.00018264959,0.0
0.1,0.005,0.05,0.001308149,0.0003464139,50,0.00016102735,0.0
0.1,0.005,0.1,0.0011574472,0.00049355597,50,0.00016651586,0.0
0.1,0.005,0.5,0.0008355425,0.0010503632,50,0.00015775055,0.0
0.1,0.01,0.01,0.0012293573,0.00060689653,50,0.00021526914,0.0
0.1,0.01,0.05,0.0011721943,0.00047526867,50,0.00022201767,0.0
0.1,0.01,0.1,0.0044236123,0.0013275183,50,0.00017213487,0.0
0.1,0.01,0.5,0.0008859284,0.0012373532,50,0.00027193947,0.0
0.1,0.05,0.01,0.00047641314,0.00054372306,50,0.00018655123,0.0
0.1,0.05,0.05,0.0027957854,0.000866629,50,0.000249404,0.0
0.1,0.05,0.1,0.005290827,0.0007494678,37,0.00015059506,0.0
0.1,0.05,0.5,0.0013373058,0.00090424763,50,0.0001683148,0.0
0.5,0.001,0.01,0.0014242864,0.00037347362,35,7.328269e-05,0.0
0.5,0.001,0.05,0.00056320755,0.00133411,50,6.494271e-05,0.0
0.5,0.001,0.1,0.0014145203,0.0005898057,50,4.5931596e-05,0.0
0.5,0.001,0.5,0.00077218394,0.0007995729,50,6.7144894e-05,0.0
0.5,0.005,0.01,0.0013391749,0.0005473567,50,8.998697e-05,0.0
0.5,0.005,0.05,0.0018276334,0.0029818185,35,7.407576e-05,0.0
0.5,0.005,0.1,0.0071166228,0.002105927,35,5.241828e-05,0.0
0.5,0.005,0.5,0.0014281293,0.000858905,50,5.9303366e-05,0.0
0.5,0.01,0.01,0.00212682,0.00089084,50,0.00010081281,0.0
0.5,0.01,0.05,0.0015062556,0.0036045387,35,9.9296805e-05,0.0
0.5,0.01,0.1,0.0020622378,0.00043217043,50,4.2746047e-05,0.0
0.5,0.01,0.5,0.0014530688,0.00038413442,50,7.956583e-05,0.0
0.5,0.05,0.01,0.001160092,0.0023436388,37,7.611877e-05,0.0
0.5,0.05,0.05,0.0015881913,0.0006032258,50,6.0601942e-05,0.0
0.5,0.05,0.1,0.0022973118,0.0019757354,50,4.7650105e-05,0.0
0.5,0.05,0.5,0.0008680009,0.0004434502,50,7.2610055e-05,0.0
